iter	Passed	Remaining
0	48	4787
1	48	2400
2	49	1595
3	49	1190
4	49	949
5	50	790
6	50	675
7	51	588
8	51	520
9	51	466
10	52	422
11	52	385
12	52	354
13	53	327
14	53	304
15	53	283
16	54	265
17	54	249
18	55	234
19	55	221
20	55	209
21	56	198
22	56	188
23	56	179
24	57	171
25	57	163
26	57	156
27	58	149
28	58	143
29	58	137
30	59	131
31	59	126
32	59	121
33	60	116
34	60	112
35	60	108
36	61	104
37	61	100
38	61	96
39	62	93
40	62	90
41	62	86
42	63	83
43	63	80
44	63	78
45	64	75
46	64	72
47	64	70
48	65	67
49	65	65
50	65	63
51	66	61
52	66	59
53	66	57
54	67	54
55	67	53
56	67	51
57	68	49
58	68	47
59	68	45
60	69	44
61	69	42
62	69	41
63	70	39
64	70	38
65	71	36
66	71	35
67	71	33
68	72	32
69	72	31
70	72	29
71	73	28
72	73	27
73	73	25
74	74	24
75	74	23
76	74	22
77	75	21
78	75	20
79	75	18
80	76	17
81	76	16
82	76	15
83	77	14
84	77	13
85	77	12
86	78	11
87	78	10
88	78	9
89	79	8
90	79	7
91	79	6
92	80	6
93	80	5
94	81	4
95	81	3
96	81	2
97	82	1
98	82	0
99	82	0
