iter	Passed	Remaining
0	5	4997
1	5	2744
2	5	1945
3	6	1540
4	6	1297
5	6	1134
6	7	1019
7	7	932
8	7	864
9	8	809
10	8	765
11	8	728
12	9	696
13	9	669
14	9	646
15	10	625
16	10	606
17	10	589
18	11	574
19	11	561
20	11	549
21	12	537
22	12	527
23	12	518
24	13	510
25	13	502
26	13	494
27	14	487
28	14	480
29	14	476
30	15	470
31	15	465
32	15	460
33	16	455
34	16	451
35	16	446
36	17	442
37	17	438
38	17	434
39	18	439
40	18	435
41	18	432
42	19	429
43	19	425
44	19	422
45	20	419
46	20	416
47	20	413
48	21	411
49	21	408
50	21	406
51	22	403
52	22	402
53	22	400
54	23	397
55	23	398
56	27	450
57	31	513
58	33	531
59	34	535
60	35	541
61	36	547
62	37	552
63	38	558
64	39	564
65	40	569
66	41	573
67	42	577
68	43	582
69	44	587
70	45	591
71	46	595
72	47	598
73	48	603
74	49	604
75	49	605
76	50	602
77	50	599
78	51	595
79	51	591
80	51	588
81	52	584
82	52	578
83	52	575
84	53	571
85	53	568
86	53	565
87	54	561
88	54	558
89	54	555
90	55	552
91	55	549
92	55	546
93	56	543
94	56	540
95	57	537
96	57	534
97	57	531
98	58	528
99	58	526
100	58	524
101	59	521
102	59	518
103	59	516
104	60	514
105	60	511
106	61	509
107	61	506
108	61	504
109	62	502
110	62	500
111	62	497
112	63	495
113	63	493
114	63	491
115	64	489
116	64	486
117	64	484
118	65	482
119	65	480
120	65	478
121	66	476
122	66	474
123	66	472
124	67	470
125	67	468
126	67	466
127	68	464
128	68	463
129	68	461
130	69	459
131	69	457
132	69	456
133	70	454
134	70	452
135	71	451
136	71	449
137	71	448
138	72	446
139	72	444
140	72	443
141	73	441
142	73	439
143	73	438
144	74	436
145	74	435
146	74	433
147	75	432
148	75	431
149	75	429
150	76	428
151	76	427
152	76	425
153	77	424
154	77	423
155	77	421
156	78	420
157	78	419
158	78	417
159	79	416
160	79	414
161	79	413
162	80	412
163	80	411
164	80	409
165	81	408
166	81	407
167	82	406
168	82	405
169	82	403
170	83	402
171	83	401
172	83	400
173	84	399
174	84	398
175	84	397
176	85	396
177	85	395
178	85	393
179	86	392
180	86	391
181	86	390
182	87	389
183	87	388
184	87	387
185	88	386
186	88	385
187	89	384
188	89	383
189	89	382
190	90	383
191	90	382
192	91	381
193	91	380
194	91	379
195	92	378
196	92	377
197	93	377
198	93	376
199	93	375
200	94	374
201	94	373
202	94	372
203	95	371
204	95	370
205	95	369
206	96	368
207	96	367
208	96	367
209	97	366
210	97	365
211	98	364
212	98	363
213	98	362
214	99	361
215	99	360
216	99	360
217	100	359
218	100	358
219	100	357
220	102	360
221	102	359
222	102	358
223	103	360
224	104	359
225	104	358
226	104	357
227	105	356
228	105	355
229	106	355
230	106	354
231	106	353
232	107	352
233	107	351
234	107	350
235	108	350
236	108	349
237	108	348
238	109	347
239	109	346
240	109	346
241	110	345
242	110	344
243	110	343
244	111	343
245	111	342
246	112	341
247	112	340
248	112	340
249	113	339
250	113	339
251	114	338
252	114	338
253	115	338
254	116	339
255	116	338
256	116	338
257	117	337
258	117	337
259	118	336
260	118	336
261	119	335
262	119	335
263	120	334
264	120	334
265	121	333
266	121	333
267	121	333
268	122	332
269	122	332
270	123	331
271	123	331
272	124	330
273	124	330
274	124	329
275	125	328
276	125	328
277	126	327
278	126	327
279	127	326
280	127	326
281	128	325
282	128	325
283	128	324
284	128	323
285	129	322
286	129	322
287	130	321
288	130	321
289	131	320
290	131	320
291	131	319
292	132	318
293	132	317
294	132	317
295	133	316
296	133	315
297	133	315
298	134	314
299	134	314
300	135	313
301	135	312
302	135	312
303	136	311
304	136	310
305	136	310
306	137	309
307	137	309
308	138	308
309	138	308
310	138	307
311	139	307
312	139	306
313	140	305
314	140	305
315	140	304
316	140	303
317	141	302
318	141	302
319	141	301
320	142	300
321	142	300
322	143	299
323	143	299
324	144	299
325	144	298
326	144	298
327	145	297
328	145	296
329	145	295
330	146	295
331	146	294
332	146	293
333	147	293
334	147	292
335	147	292
336	148	291
337	148	291
338	149	290
339	149	290
340	149	289
341	150	288
342	150	288
343	150	287
344	151	286
345	151	286
346	151	285
347	152	285
348	152	284
349	153	284
350	153	283
351	153	283
352	154	282
353	154	281
354	154	281
355	154	280
356	155	279
357	155	279
358	156	278
359	156	278
360	157	278
361	157	277
362	157	276
363	157	276
364	158	275
365	158	274
366	159	274
367	159	273
368	159	273
369	160	273
370	160	272
371	160	271
372	161	271
373	161	270
374	162	270
375	162	269
376	162	269
377	163	268
378	163	267
379	163	267
380	164	266
381	164	266
382	165	265
383	165	265
384	165	264
385	166	264
386	166	263
387	166	263
388	167	262
389	167	262
390	167	261
391	168	260
392	168	260
393	168	259
394	169	259
395	169	258
396	170	258
397	170	257
398	170	257
399	171	256
400	171	256
401	171	255
402	172	255
403	172	254
404	172	254
405	173	253
406	173	253
407	174	252
408	174	252
409	174	251
410	175	250
411	175	250
412	175	250
413	176	249
414	176	249
415	176	248
416	177	248
417	177	247
418	178	247
419	178	246
420	178	245
421	179	245
422	179	244
423	180	245
424	181	244
425	181	244
426	181	243
427	182	243
428	182	242
429	182	242
430	183	242
431	184	241
432	184	242
433	185	241
434	185	241
435	186	240
436	186	240
437	187	239
438	187	239
439	187	238
440	188	238
441	188	237
442	188	237
443	189	236
444	189	236
445	189	235
446	190	235
447	190	234
448	191	234
449	191	233
450	191	233
451	192	232
452	192	232
453	192	231
454	193	231
455	193	230
456	193	230
457	194	230
458	194	229
459	195	229
460	195	228
461	196	228
462	196	227
463	196	227
464	197	226
465	197	226
466	197	225
467	198	225
468	199	226
469	200	225
470	200	225
471	200	224
472	201	224
473	202	224
474	202	224
475	203	224
476	204	224
477	204	223
478	205	223
479	205	223
480	206	222
481	206	222
482	207	221
483	207	221
484	208	221
485	211	223
486	213	224
487	213	224
488	214	224
489	214	223
490	215	223
491	216	223
492	217	223
493	218	223
494	218	222
495	219	222
496	221	224
497	223	225
498	224	225
499	225	225
500	226	225
501	227	225
502	228	225
503	229	225
504	229	225
505	230	225
506	231	225
507	232	225
508	233	225
509	234	225
510	235	225
511	236	225
512	237	225
513	238	225
514	239	225
515	240	225
516	241	225
517	242	225
518	243	225
519	244	225
520	244	225
521	245	225
522	246	224
523	247	224
524	247	223
525	247	223
526	248	222
527	248	222
528	248	221
529	249	221
530	249	220
531	249	219
532	250	219
533	250	218
534	250	218
535	251	217
536	251	217
537	252	216
538	252	215
539	252	215
540	253	214
541	253	214
542	253	213
543	254	213
544	254	212
545	254	211
546	255	211
547	255	210
548	255	210
549	256	209
550	256	209
551	256	208
552	257	207
553	257	207
554	258	207
555	259	207
556	259	206
557	260	206
558	260	205
559	261	205
560	262	205
561	263	205
562	264	205
563	264	204
564	265	204
565	266	204
566	267	204
567	268	204
568	269	204
569	270	203
570	270	203
571	270	202
572	271	202
573	271	201
574	271	200
575	272	200
576	273	200
577	273	199
578	273	199
579	274	198
580	274	198
581	274	197
582	275	196
583	275	196
584	275	195
585	276	195
586	276	194
587	277	194
588	277	193
589	277	192
590	278	192
591	278	191
592	279	191
593	279	190
594	279	190
595	280	189
596	280	189
597	280	188
598	281	188
599	281	187
600	281	187
601	282	186
602	282	186
603	282	185
604	283	184
605	283	184
606	283	183
607	284	183
608	284	182
609	284	182
610	285	181
611	285	181
612	286	180
613	286	180
614	286	179
615	287	179
616	287	178
617	287	177
618	288	177
619	288	176
620	288	176
621	289	175
622	289	175
623	290	174
624	290	174
625	290	173
626	291	173
627	291	172
628	291	172
629	292	171
630	292	171
631	292	170
632	293	169
633	293	169
634	293	168
635	294	168
636	294	167
637	294	167
638	295	166
639	295	166
640	295	165
641	296	165
642	296	164
643	297	164
644	297	163
645	297	163
646	298	162
647	298	162
648	298	161
649	299	161
